PERIODO,INADIMPLENTES_MI,VMPP,DIVIDAS_MI,VMCD,VTDD_BI,VMAF,DESCONTOS_BI
out/24,73.1,5504.33,276.08,1457.48,402.03,734.83,10.51
nov/24,73.79,5558.3,274.54,1493.92,410.14,590.74,15.6
dez/24,73.51,5496.69,275.68,1465.73,404.07,560.0,13.4
jan/25,74.6,5617.0,281.25,1489.9,419.0,676.0,10.2
fev/25,75.0,5837.49,286.11,1530.28,437.0,698.0,12.1
mar/25,75.7,5793.66,287.6,1526.41,438.0,714.0,17.7
abr/25,76.6,5968.71,294.1,1555.33,457.0,790.0,10.5
mai/25,77.0,6036.94,298.5,1558.68,465.0,839.0,11.7
jun/25,77.8,6128.26,304.5,1567.05,477.0,772.0,9.9
jul/25,78.2,6177.74,307.5,1570.17,482.0,736.0,11.11
ago/25,78.8,6267.69,313.0,1578.23,494.0,757.0,12.1
set/25,79.1,6274.82,313.0,1584.52,496.0,812.0,12.8
